QALD_ID,QALD_Question,TP,FP,FN,Precision,Recall,Fscore
1,Lista todas juegos de mesa por GMT. ,8,0,0,1,1,1
2,Quien desarrollado Skype? ,2,0,0,1,1,1
3,Cual gente fueron nacido en Heraklion? ,0,0,57,0,0,0
4,En cual Nosotros estado es Zona 51 ¿situado? ,0,0,2,0,0,0
5,¿Quién es el alcalde de la cuidad de Nueva York?,1,0,0,1,1,1
6,¿Qué países tienen lugares con más de dos cuevas?,0,0,34,0,0,0
7,Dónde hizo Abrahán Lincoln el? ,2,0,0,1,1,1
8,¿Qué aeropuertos sirve Air China?,9,0,0,1,1,1
9,Dame todos los actores de películas dirigidas por William Shatner en las qué también haya actúado el mismo.,0,0,12,0,0,0
10,¿Cuáles son los idiomas oficiales de Las Philipinas?,2,0,0,1,1,1
11,Dame todas las películas danesas.,122,0,0,1,1,1
12,¿Que peliculas protagonizadas por Brad Pitt han sido dirigidas por Guy Ritchie?,0,0,1,0,0,0
13,Dame todos los nietos de Bruce Lee.,0,0,1,0,0,0
14,¿Qué otras armas desarrolló el inventor del Uzi?,0,0,1,0,0,0
15,¿A quién le pertenecen los Universal Studios?,1,0,0,1,1,1
16,¿Que estado de los estados unidos de america tiene la mayor densidad de población?,0,0,0,0,0,0
17,¿Qué monárcas estaban casados con una persona alemana?,0,0,1,0,0,0
18,¿Qué empresas fueron fundadas en 1950?,0,0,0,0,0,0
19,¿Quién creó el comic Capitán América?,0,0,2,0,0,0
20,Dame todos los astronautas de Apolo 14?,0,0,3,0,0,0
21,Quien escribió el libro los pilares de el ¿Tierra? ,1,0,0,1,1,1
22,Cual estado de el Unido Estados de America tiene el más alto ¿densidad? ,0,0,1,0,0,0
23,¿Qué misiones espaciales partieron desde Baionur?,0,0,13,0,0,0
24,Dame una lista de todos los trompeteros que fueron líderes de un grupo.,0,0,46,0,0,0
25,¿Qué estados americanos se encuentran en la misma zona que Utah?,0,0,0,0,0,0
26,¿En qué estados de los estados unidos de américa hay oro?,0,0,0,0,0,0
27,¿Con quién está casada la hija de Ingrid Bergman?,0,0,0,0,0,0
28,Cómo de hondo es el Lago Placid?,1,0,0,1,1,1
29,Muéstrame todos los museos en Londres,81,0,0,1,1,1
30,¿Qué cuevas tienen más de 3 entradas?,0,0,34,0,0,0
31,¿Quién es el jugador más alto de los Atlanta Falcons?,1,0,0,1,1,1
32,¿Cuáles son los 10 mejores videojuegos de rol de acción según la IGN?,0,0,0,0,0,0
