ID,sentence,TP,FP,FN,Precision,Recall,Fscore
1,Liste alle Brettspiele von GMT. ,8,0,0,1,1,1
2,Wer entwickelt Skype? ,2,0,0,1,1,1
3,Welche Menschen wurden geboren im Heraklion? ,57,0,0,1,1,1
4,Im welche US Zustand ist Bereich 51 gelegen? ,0,0,2,0,0,0
5,Wer ist der Bürgermeister von New York City?,1,0,0,1,1,1
6,In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,0,0,34,0,0,0
7,Woher hat getan Abraham Lincoln die? ,2,0,0,1,1,1
8,Welche Flughäfen fliegt Air China an?,9,0,0,1,1,1
9,"Gib mir alle Schauspieler von Filmen, in denen William Shatner sowohl Regie geführt als auch selber mitgespielt hat.",0,0,12,0,0,0
10,Was sind die Amtssprachen der Philippinen?,2,0,0,1,1,1
11,Gib mir alle dänischen Filme.,122,0,0,1,1,1
12,"Bei welchen Filmen, in denen Brad Pitt mitspielt, hat Guy Ritchie Regie geführt?",0,0,1,0,0,0
13,Gib mir die Enkel von Bruce Lee.,0,0,1,0,0,0
14,Welche anderen Waffen hat der Erfinder der Uzi entwickelt?,0,0,1,0,0,0
15,Wem gehören die Universal Studios?,0,0,1,0,0,0
16,Welcher Staat in den USA hat die höchste Bevölkerungsdichte?,0,0,0,0,0,0
17,Welche Monarchen waren mit jemand deutschem verheiratet?,0,0,1,0,0,0
18,Welche Unternehmen wurden 1950 gegründet?,0,107,0,0,0,0
19,Wer hat den Comic Captain America erfunden?,2,0,0,1,1,1
20,Gib mir alle Apollo-14-Astronauten.,3,0,0,1,1,1
21,Wer schrieb das Buch Das Säulen von das Erde? ,1,0,0,1,1,1
22,Welche Zustand von das Vereinigt Zustände von Amerika hat das höchste Dichte? ,0,0,1,0,0,0
23,Welche Raumflüge sind von Baikonur gestartet?,13,0,0,1,1,1
24,"Gib mit eine Liste aller Trompeter, die Bandleader waren.",0,0,46,0,0,0
25,Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?,0,0,0,0,0,0
26,In welchen US-Staaten gibt es Goldvorkommen?,0,0,0,0,0,0
27,Mit wem ist die Tochter von Ingrid Bergman verheiratet?,0,0,0,0,0,0
28,Wie tief ist Lake Placid?,1,0,0,1,1,1
29,Zeig mir alle Museen in London.,81,0,0,1,1,1
30,Welche Höhlen haben mehr als 3 Eingänge?,0,0,34,0,0,0
31,Wer ist der größte Spieler der Atlanta Falcons?,1,0,0,1,1,1
32,Was sind laut IGN die Top-10-Action-Rollenspiele?,0,0,0,0,0,0
33,"Gib mir alle Schriftsteller, die den Literaturnobelpreis gewonnen haben.",0,0,21,0,0,0
34,"Zeig mir alle Basketballspieler, die größer als 2 Meter sind.",4253,0,0,1,1,1
35,Wann wurde die Freiheitsstatue erbaut?,1,0,0,1,1,1
36,Welche Staaten grenzen an Illinois?,5,0,0,1,1,1
37,Wer hat Minecraft entwickelt?,1,0,0,1,1,1
38,Wo ist Hillel Slovak gestorben?,2,0,0,1,1,1
39,In welchen Filmen spielt Jesse Eisenberg mit?,0,0,25,0,0,0
40,"Zeig mir alle Schwimmer, die in Moskau geboren wurden.",55,0,0,1,1,1
41,Gib mir alle Kosmonauten.,0,0,118,0,0,0
42,Nenne mir alle Schweizer Nonprofit-Organisationen?,1,0,0,1,1,1
43,Welche Präsidenten wurden 1945 geboren?,0,0,0,0,0,0
44,Was für Musik hat Lou Reed gemacht?,5,0,0,1,1,1
45,Wo spielen die Red Sox?,0,0,1,0,0,0
46,"Zeig mir eine Liste der Fußballvereine, die in der Bundesliga spielen.",0,0,52,0,0,0
47,Welche japanischen Vulkane sind seit 2000 ausgebrochen?,0,0,0,0,0,0
48,Welche Brücken überqueren die Seine?,33,0,0,1,1,1
49,Was ist die offizielle Farbe der Universität Oxford?,1,0,0,1,1,1
50,Wieviele Filme hat Hal Roach produziert?,1,0,0,1,1,1
51,Gib mir alle dänischen Filme.,122,0,0,1,1,1
52,Was ist die häufigste Todesursache?,0,0,0,0,0,0
53,Wer sind die vier jüngsten MVP Baskettballspieler?,0,0,0,0,0,0
