LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,domainWrittenSingular,domainWrittenPlural,rangeWrittenSingular,rangeWrittenPlural,GrammarRule 1:question1,GrammarRule 1:question2,GrammarRule 1:sparql,GrammarRule 2:question1,GrammarRule2: sparql,,,,,,,,,,,,
"Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by,company,companies,software,software,""Which dbo:Company(X) develops,developedY(dbo:Company)?"",""Who dbo:Company(X) develops,developedY(dbo:Company)?"",SELECT ?X WHERE { ?X dbo:product Y.},Which dbo:Software (X) was developed by Y(dbo:Company)?,SELECT ?X WHERE { Y dbo:Company ?X.},,,,,,,,,,,,"
"Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,by,video game,video games,agent,agents,""Which dbo:Agent (X) develops,developed Y(dbo:VideoGame)?"",,,,,,,,,,,,,,,,"
"Develop_3,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by,company,companies,software,software,""Which dbo:Company(X) develops,developedY(dbo:Company)?"",,,,,,,,,,,,,,,,"
"paint,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,by,work,works,person,persons,""Which dbo:Person (X) paints,painted Y(dbo:Work)?"",""Who dbo:Person (X) paints,painted Y(dbo:Work)?"",SELECT ?X WHERE { Y dbp:artist ?X.},Which dbo:Work(X) was painted by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"exhibit,verb,exhibit,exhibits,exhibited,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by,artwork,artworks,museum,museums,""Which dbo: Museum (X) exhibits,exhibited Y(dbo:Artwork)?"",""Who dbo: Museum (X) exhibits,exhibited Y(dbo:Artwork)?"",SELECT ?X WHERE { Y dbo:museum ?X.},Which dbo:Artwork(X) was exhibited by Y(dbo: Museum)?,SELECT ?X WHERE { ?X dbo: Museum Y.},,,,,,,,,,,,"
"discover,verb,discover,discovers,discovered,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,by,plant,planets,person,persons,""Which dbo:Person (X) discovers,discovered Y(dbo:Planet)?"",""Who dbo:Person (X) discovers,discovered Y(dbo:Planet)?"",SELECT ?X WHERE { Y dbo:discoverer ?X.},Which dbo:Planet(X) was discovered by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,by,bridge,bridges,river,rivers,""Which dbo:River (X) crosses,crossed Y(dbo:Bridge)?"",""Who dbo:River (X) crosses,crossed Y(dbo:Bridge)?"",SELECT ?X WHERE { Y dbo:crosses ?X.},Which dbo:Bridge(X) was crossed by Y(dbo:River)?,SELECT ?X WHERE { ?X dbo:River Y.},,,,,,,,,,,,"
"win,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by,scientist,scientists,award,awards,""Which dbo:Award (X) wins,won Y(dbo:Scientist)?"",""Who dbo:Award (X) wins,won Y(dbo:Scientist)?"",SELECT ?X WHERE { Y dbo:award ?X.},Which dbo:Scientist(X) was won by Y(dbo:Award)?,SELECT ?X WHERE { ?X dbo:Award Y.},,,,,,,,,,,,"
"create_1,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,by,Television show,Television shows,agent,agents,""Which dbo:Agent (X) creates,created Y(dbo:TelevisionShow)?"",""Who dbo:Agent (X) creates,created Y(dbo:TelevisionShow)?"",SELECT ?X WHERE { Y dbo:creator ?X.},Which dbo:TelevisionShow(X) was created by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.},,,,,,,,,,,,"
"create_2,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,by,Website,Websites,person,persons,""Which dbo:Person (X) creates,created Y(dbo:Website)?"",""Who dbo:Person (X) creates,created Y(dbo:Website)?"",SELECT ?X WHERE { Y dbo:author ?X.},Which dbo:Website(X) was created by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"starr_in_1,verb,starring in,starring in,starred in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,by,film,films,person,persons,""Which dbo:Person (X) starring in,starred in Y(dbo:Film)?"",""Who dbo:Person (X) starring in,starred in Y(dbo:Film)?"",SELECT ?X WHERE { Y dbo:starring ?X.},Which dbo:Film(X) was starred in by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"starr_in_2,verb,starring in,starring in,starred_in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Actor,by,film,films,actor,actors,""Which dbo:Actor (X) starring in,starred_in Y(dbo:Film)?"",""Who dbo:Actor (X) starring in,starred_in Y(dbo:Film)?"",SELECT ?X WHERE { Y dbo:starring ?X.},Which dbo:Film(X) was starred_in by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.},,,,,,,,,,,,"
"play_1,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,by,fictional character,fictional characters,person,persons,""Which dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?"",""Who dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?"",SELECT ?X WHERE { Y dbp:portrayer ?X.},Which dbo:FictionalCharacter(X) was played by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"play_2,verb,play,plays,played,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by,work,works,actor,actors,""Which dbo:Actor (X) plays,played Y(dbo:Work)?"",""Who dbo:Actor (X) plays,played Y(dbo:Work)?"",SELECT ?X WHERE { Y dbo:portrayer ?X.},Which dbo:Work(X) was played by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.},,,,,,,,,,,,"
"Play_3,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,by,film,film,person,persons,""Which dbo:Person (X) playes,played Y(dbo:Film)?"",,,,,,,,,,,,,,,,"
"publish_1,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Publisher,by,book,books,publisher,publishers,""Which dbo:Publisher (X) publishes,published Y(dbo:Book)?"",""Who dbo:Publisher (X) publishes,published Y(dbo:Book)?"",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Book(X) was published by Y(dbo:Publisher)?,SELECT ?X WHERE { ?X dbo:Publisher Y.},,,,,,,,,,,,"
"publish_2,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,by,publisher,publishers,agent,agents,""Which dbo:Agent (X) publishes,published Y(dbo:Publisher)?"",""Who dbo:Agent (X) publishes,published Y(dbo:Publisher)?"",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Publisher(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.},,,,,,,,,,,,"
"Publish_3,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Company,by,video game,video games,company,companies,""Which dbo:Company (X) publishes,published Y(dbo:VideoGame)?"",""Who dbo:Company (X) publishes,published Y(dbo:VideoGame)?"",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:VideoGame(X) was published by Y(dbo:Company)?,SELECT ?X WHERE { ?X dbo:Company Y.},,,,,,,,,,,,"
"direct_1,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by,film,films,person,persons,""Which dbo:Person (X) directs,directed Y(dbo:Film)?"",""Who dbo:Person (X) directs,directed Y(dbo:Film)?"",SELECT ?X WHERE { Y dbo:director ?X.},Which dbo:Film(X) was directed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.},,,,,,,,,,,,"
"serve_1,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by,airline,airlines,airport,airports,""Which dbo:Airport (X) serves,served Y(dbo:Airline)?"",""Who dbo:Airport (X) serves,served Y(dbo:Airline)?"",SELECT ?X WHERE { Y dbo:targetAirport ?X.},Which dbo:Airline(X) was served by Y(dbo:Airport)?,SELECT ?X WHERE { ?X dbo:Airport Y.},,,,,,,,,,,,"
"design_1,verb,design,designs,designed,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by,architectural structure,architectural structures,architect,architects,""Which dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?"",""Who dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?"",SELECT ?X WHERE { Y dbo:architect ?X.},Which dbo:ArchitecturalStructure(X) was designed by Y(dbo:Architect)?,SELECT ?X WHERE { ?X dbo:Architect Y.},,,,,,,,,,,,"
